07-09-2023 10:45:03 error: login,v1/admin/login,Successfully Logged-In,200,Thu Sep 07 2023 10:45:03 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:45:03 GMT+0530 (India Standard Time)
07-09-2023 10:51:24 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 10:51:24 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:51:24 GMT+0530 (India Standard Time)
07-09-2023 10:51:24 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 10:51:24 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:51:24 GMT+0530 (India Standard Time)
07-09-2023 10:51:25 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 10:51:25 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:51:25 GMT+0530 (India Standard Time)
07-09-2023 10:51:25 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 10:51:25 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:51:25 GMT+0530 (India Standard Time)
07-09-2023 10:58:59 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time)
07-09-2023 10:58:59 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time)
07-09-2023 10:58:59 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time)
07-09-2023 10:58:59 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time)
07-09-2023 10:58:59 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time)
07-09-2023 10:58:59 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:58:59 GMT+0530 (India Standard Time)
07-09-2023 10:59:04 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 10:59:04 GMT+0530 (India Standard Time),Thu Sep 07 2023 10:59:04 GMT+0530 (India Standard Time)
07-09-2023 11:02:29 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:29 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:29 GMT+0530 (India Standard Time)
07-09-2023 11:02:29 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:29 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:29 GMT+0530 (India Standard Time)
07-09-2023 11:02:29 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:29 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:29 GMT+0530 (India Standard Time)
07-09-2023 11:02:30 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:30 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:30 GMT+0530 (India Standard Time)
07-09-2023 11:02:30 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:30 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:30 GMT+0530 (India Standard Time)
07-09-2023 11:02:30 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:30 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:30 GMT+0530 (India Standard Time)
07-09-2023 11:02:30 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:30 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:30 GMT+0530 (India Standard Time)
07-09-2023 11:02:31 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:31 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:31 GMT+0530 (India Standard Time)
07-09-2023 11:02:31 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:31 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:31 GMT+0530 (India Standard Time)
07-09-2023 11:02:31 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:31 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:31 GMT+0530 (India Standard Time)
07-09-2023 11:02:32 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:32 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:32 GMT+0530 (India Standard Time)
07-09-2023 11:02:32 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:32 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:32 GMT+0530 (India Standard Time)
07-09-2023 11:02:32 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:32 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:32 GMT+0530 (India Standard Time)
07-09-2023 11:02:32 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:32 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:32 GMT+0530 (India Standard Time)
07-09-2023 11:02:33 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:33 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:33 GMT+0530 (India Standard Time)
07-09-2023 11:02:33 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:33 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:33 GMT+0530 (India Standard Time)
07-09-2023 11:02:33 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:33 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:33 GMT+0530 (India Standard Time)
07-09-2023 11:02:34 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:34 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:34 GMT+0530 (India Standard Time)
07-09-2023 11:02:34 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:34 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:34 GMT+0530 (India Standard Time)
07-09-2023 11:02:34 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:34 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:34 GMT+0530 (India Standard Time)
07-09-2023 11:02:34 error: uploadGallery,v1/gallery/deleteGalleryItem/:galleryItemId,delete,404,Thu Sep 07 2023 11:02:34 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:02:34 GMT+0530 (India Standard Time)
07-09-2023 11:40:55 error: contact,v1/contact/addContact,Name cannot be empty,400,Thu Sep 07 2023 11:40:55 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:40:55 GMT+0530 (India Standard Time)
07-09-2023 11:41:10 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 11:41:10 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:41:10 GMT+0530 (India Standard Time)
07-09-2023 11:42:18 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 11:42:18 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:42:18 GMT+0530 (India Standard Time)
07-09-2023 11:44:28 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 11:44:28 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:44:28 GMT+0530 (India Standard Time)
07-09-2023 11:44:30 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 11:44:30 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:44:30 GMT+0530 (India Standard Time)
07-09-2023 11:46:19 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 11:46:19 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:46:19 GMT+0530 (India Standard Time)
07-09-2023 11:46:34 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 11:46:34 GMT+0530 (India Standard Time),Thu Sep 07 2023 11:46:34 GMT+0530 (India Standard Time)
07-09-2023 17:10:35 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 17:10:35 GMT+0530 (India Standard Time),Thu Sep 07 2023 17:10:35 GMT+0530 (India Standard Time)
07-09-2023 17:10:51 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 17:10:51 GMT+0530 (India Standard Time),Thu Sep 07 2023 17:10:51 GMT+0530 (India Standard Time)
07-09-2023 22:35:25 error: getAllGalleryItemsByProjectId,v1/gallery/getGalleryList/:projectId,getAllGalleryItemsByProjectId,200,Thu Sep 07 2023 22:35:25 GMT+0530 (India Standard Time),Thu Sep 07 2023 22:35:25 GMT+0530 (India Standard Time)
